date;time;open;high;low;close;volume;sar
21.02.2025;21:20:00;8363.3;8373.5;8362.7;8369.0;851.0;8333.704194767
21.02.2025;21:30:00;8369.9;8385.0;8369.9;8384.8;670.0;8334.9911528194
21.02.2025;21:40:00;8382.8;8386.8;8380.0;8386.8;1204.0;8336.2652412912
21.02.2025;21:50:00;8385.7;8394.4;8383.3;8392.0;1395.0;8337.5265888783
21.02.2025;22:00:00;8392.0;8394.6;8383.0;8386.3;758.0;8338.7753229895
21.02.2025;22:10:00;8387.7;8390.0;8380.7;8380.7;618.0;8340.0115697596
21.02.2025;22:20:00;8380.6;8382.0;8380.1;8380.1;218.0;8341.235454062
21.02.2025;22:30:00;8382.0;8390.7;8382.0;8388.2;631.0;8342.4470995214
21.02.2025;22:40:00;8390.4;8390.4;8373.0;8374.1;727.0;8343.6466285262
21.02.2025;22:50:00;8376.0;8381.1;8374.1;8377.6;606.0;8344.8341622409
21.02.2025;23:00:00;8379.1;8389.5;8375.6;8384.4;409.0;8346.0098206185
21.02.2025;23:10:00;8384.4;8384.4;8372.8;8372.8;164.0;8347.1737224123
21.02.2025;23:20:00;8372.0;8374.9;8366.8;8372.7;670.0;8348.3259851882
21.02.2025;23:30:00;8373.1;8384.3;8372.3;8379.1;874.0;8349.4667253363
21.02.2025;23:40:00;8380.0;8384.3;8346.4;8378.7;1906.0;8462.4
24.02.2025;08:50:00;8394.7;8394.7;8394.7;8394.7;305.0;8460.08
24.02.2025;09:00:00;8394.7;8394.7;8334.2;8334.2;4902.0;8457.8064
24.02.2025;09:10:00;8336.5;8352.3;8330.0;8348.4;2866.0;8456.570336
24.02.2025;09:20:00;8348.3;8361.0;8340.7;8357.2;852.0;8455.30463264
24.02.2025;09:30:00;8359.2;8361.0;8347.0;8356.0;620.0;8454.0515863136
24.02.2025;09:40:00;8356.0;8356.8;8338.6;8345.3;2501.0;8452.8110704505
24.02.2025;09:50:00;8347.0;8347.3;8337.1;8343.5;2680.0;8451.582959746
24.02.2025;10:00:00;8344.4;8394.7;8336.6;8394.2;20059.0;8450.3671301485
24.02.2025;10:10:00;8393.8;8394.7;8373.6;8393.4;5429.0;8449.163458847
24.02.2025;10:20:00;8393.1;8404.2;8376.9;8394.9;9578.0;8447.9718242585
24.02.2025;10:30:00;8394.6;8404.0;8385.5;8397.4;3949.0;8446.792106016
24.02.2025;10:40:00;8396.3;8406.3;8391.0;8402.1;4698.0;8445.6241849558
24.02.2025;10:50:00;8402.0;8428.4;8390.2;8417.3;25745.0;8444.4679431062
24.02.2025;11:00:00;8418.0;8440.0;8394.4;8398.0;12383.0;8443.3232636752
24.02.2025;11:10:00;8398.1;8408.1;8392.2;8403.2;4515.0;8442.1900310384
24.02.2025;11:20:00;8404.6;8406.4;8370.0;8390.9;4746.0;8441.068130728
24.02.2025;11:30:00;8390.8;8392.6;8360.0;8360.7;10339.0;8439.9574494208
24.02.2025;11:40:00;8361.3;8367.1;8350.0;8363.8;17620.0;8438.8578749266
24.02.2025;11:50:00;8363.8;8380.2;8359.6;8375.5;5400.0;8437.7692961773
24.02.2025;12:00:00;8372.5;8372.5;8350.0;8352.3;4703.0;8436.6916032155
24.02.2025;12:10:00;8355.0;8363.7;8350.8;8360.1;8928.0;8435.6246871834
24.02.2025;12:20:00;8360.5;8363.0;8355.0;8356.0;6060.0;8434.5684403115
24.02.2025;12:30:00;8355.0;8356.7;8350.2;8352.9;2753.0;8433.5227559084
24.02.2025;12:40:00;8352.6;8356.8;8336.1;8340.6;4806.0;8432.4875283493
24.02.2025;12:50:00;8336.9;8356.5;8336.0;8351.8;3623.0;8431.4626530658
24.02.2025;13:00:00;8351.8;8362.0;8351.8;8361.7;3478.0;8430.4480265352
24.02.2025;13:10:00;8361.7;8363.1;8352.8;8361.0;9788.0;8429.4435462698
24.02.2025;13:20:00;8361.8;8363.0;8344.8;8347.0;7828.0;8428.4491108071
24.02.2025;13:30:00;8347.0;8347.9;8340.0;8340.3;1551.0;8427.464619699
24.02.2025;13:40:00;8340.5;8366.0;8340.5;8351.0;3852.0;8426.4899735021
24.02.2025;13:50:00;8348.3;8359.0;8341.9;8354.9;1226.0;8425.525073767
24.02.2025;14:00:00;8354.9;8363.3;8353.1;8355.8;1245.0;8424.5698230294
24.02.2025;14:10:00;8357.9;8381.6;8356.8;8375.0;2854.0;8423.6241247991
24.02.2025;14:20:00;8374.8;8380.0;8364.5;8377.2;3688.0;8422.6878835511
24.02.2025;14:30:00;8375.5;8378.4;8375.0;8378.4;2088.0;8421.7610047156
24.02.2025;14:40:00;8376.8;8376.8;8368.9;8372.2;13946.0;8420.8433946684
24.02.2025;14:50:00;8374.4;8375.0;8372.4;8374.1;768.0;8419.9349607217
24.02.2025;15:00:00;8375.0;8384.6;8370.1;8371.3;2904.0;8419.0356111145
24.02.2025;15:10:00;8372.4;8376.0;8356.0;8376.0;4021.0;8418.1452550034
24.02.2025;15:20:00;8375.0;8381.1;8371.0;8374.1;928.0;8417.2638024533
24.02.2025;15:30:00;8372.1;8376.3;8357.4;8357.4;908.0;8416.3911644288
24.02.2025;15:40:00;8358.9;8360.5;8345.4;8351.0;2885.0;8415.5272527845
24.02.2025;15:50:00;8349.9;8366.8;8340.0;8363.0;4095.0;8414.6719802567
24.02.2025;16:00:00;8359.6;8376.8;8357.7;8375.7;5270.0;8413.8252604541
24.02.2025;16:10:00;8374.4;8382.2;8363.6;8378.0;4414.0;8412.9870078496
24.02.2025;16:20:00;8374.5;8383.7;8367.5;8372.2;4974.0;8412.1571377711
24.02.2025;16:30:00;8372.0;8382.5;8371.4;8379.8;989.0;8411.3355663934
24.02.2025;16:40:00;8381.1;8391.7;8378.2;8384.2;3523.0;8410.5222107294
24.02.2025;16:50:00;8386.4;8392.4;8383.8;8387.3;1936.0;8409.7169886221
24.02.2025;17:00:00;8390.1;8390.2;8370.7;8379.1;3480.0;8408.9198187359
24.02.2025;17:10:00;8380.4;8381.3;8367.6;8370.7;1296.0;8408.1306205485
24.02.2025;17:20:00;8368.8;8368.8;8347.3;8354.5;9705.0;8407.3493143431
24.02.2025;17:30:00;8354.5;8368.9;8346.0;8346.0;7713.0;8406.5758211996
24.02.2025;17:40:00;8345.2;8358.1;8340.7;8348.3;4467.0;8405.8100629876
24.02.2025;17:50:00;8350.6;8360.0;8345.0;8350.5;3576.0;8405.0519623578
24.02.2025;18:00:00;8349.7;8349.8;8331.6;8332.0;10692.0;8404.3014427342
24.02.2025;18:10:00;8333.4;8353.1;8329.0;8346.0;4352.0;8403.5584283068
24.02.2025;18:20:00;8344.6;8348.9;8334.0;8334.0;3186.0;8402.8128440238
24.02.2025;18:30:00;8333.1;8333.8;8316.6;8319.3;6728.0;8402.0747155835
24.02.2025;18:40:00;8318.0;8328.8;8296.7;8305.6;12465.0;8401.2199684277
24.02.2025;19:00:00;8307.1;8332.8;8297.7;8327.4;5190.0;8400.1747687434
24.02.2025;19:10:00;8329.2;8336.5;8323.1;8333.1;1758.0;8399.140021056
24.02.2025;19:20:00;8332.6;8337.0;8315.5;8322.6;946.0;8398.1156208454
24.02.2025;19:30:00;8322.4;8328.6;8317.4;8320.0;738.0;8397.101464637
24.02.2025;19:40:00;8320.3;8324.5;8315.5;8320.4;1219.0;8396.0974499906
24.02.2025;19:50:00;8321.7;8328.9;8321.7;8328.0;204.0;8395.1034754907
24.02.2025;20:00:00;8327.9;8334.5;8324.8;8327.0;655.0;8394.1194407358
24.02.2025;20:10:00;8329.2;8335.1;8328.5;8330.0;1926.0;8393.1452463284
24.02.2025;20:20:00;8329.4;8329.4;8325.0;8325.2;192.0;8392.1807938651
24.02.2025;20:30:00;8325.0;8328.7;8325.0;8328.7;208.0;8391.2259859265
24.02.2025;20:40:00;8325.9;8325.9;8315.5;8315.5;1729.0;8390.2807260672
24.02.2025;20:50:00;8315.5;8319.9;8304.2;8307.2;2032.0;8389.3449188066
24.02.2025;21:00:00;8306.3;8309.6;8296.6;8309.0;1800.0;8388.4184696185
24.02.2025;21:10:00;8308.1;8312.1;8302.6;8304.5;1748.0;8387.5002849223
24.02.2025;21:20:00;8307.4;8311.6;8302.0;8305.0;1861.0;8386.5912820731
24.02.2025;21:30:00;8305.0;8310.8;8299.7;8304.3;3786.0;8385.6913692524
24.02.2025;21:40:00;8303.5;8304.2;8290.2;8295.0;2983.0;8384.8004555598
24.02.2025;21:50:00;8295.0;8306.2;8290.3;8302.6;3614.0;8383.8544510042
24.02.2025;22:00:00;8302.6;8302.6;8295.0;8298.7;734.0;8382.9179064942
24.02.2025;22:10:00;8298.7;8302.9;8297.4;8297.7;1007.0;8381.9907274292
24.02.2025;22:20:00;8300.7;8300.9;8297.4;8298.0;308.0;8381.072820155
24.02.2025;22:30:00;8298.0;8298.2;8297.1;8298.2;420.0;8380.1640919534
24.02.2025;22:40:00;8297.6;8300.9;8297.4;8300.9;401.0;8379.2644510339
24.02.2025;22:50:00;8300.9;8309.9;8300.0;8300.4;1605.0;8378.3738065235
24.02.2025;23:00:00;8301.0;8302.7;8292.7;8299.1;642.0;8377.4920684583
24.02.2025;23:10:00;8299.0;8299.0;8295.5;8297.3;268.0;8376.6191477737
24.02.2025;23:20:00;8297.3;8297.8;8290.2;8294.9;2428.0;8375.754956296
24.02.2025;23:30:00;8292.0;8293.4;8290.2;8291.5;1569.0;8374.899406733
24.02.2025;23:40:00;8292.7;8299.0;8255.0;8283.2;2757.0;8374.0524126657
25.02.2025;08:50:00;8278.5;8278.5;8278.5;8278.5;86.0;8372.861888539
25.02.2025;09:00:00;8278.2;8288.1;8265.0;8285.9;2257.0;8371.6832696536
25.02.2025;09:10:00;8286.1;8288.3;8276.1;8277.2;4518.0;8370.5164369571
25.02.2025;09:20:00;8277.3;8278.9;8272.5;8272.6;1936.0;8369.3612725875
25.02.2025;09:30:00;8272.5;8278.9;8272.5;8275.8;1031.0;8368.2176598617
25.02.2025;09:40:00;8276.0;8276.9;8272.5;8273.6;1197.0;8367.085483263
25.02.2025;09:50:00;8273.8;8274.2;8268.9;8274.2;6018.0;8365.9646284304
25.02.2025;10:00:00;8271.5;8291.6;8262.5;8265.3;15423.0;8364.8549821461
25.02.2025;10:10:00;8265.3;8265.5;8229.1;8231.8;21958.0;8363.7564323246
25.02.2025;10:20:00;8230.5;8235.0;8226.6;8231.2;9932.0;8362.4098680014
25.02.2025;10:30:00;8231.8;8242.6;8228.5;8232.1;5102.0;8361.0517693214
25.02.2025;10:40:00;8232.0;8235.0;8229.9;8230.1;10093.0;8359.7072516282
25.02.2025;10:50:00;8230.1;8232.9;8225.2;8232.9;11189.0;8358.3761791119
25.02.2025;11:00:00;8225.9;8235.8;8219.4;8225.0;9490.0;8357.0444173208
25.02.2025;11:10:00;8223.0;8233.3;8219.4;8228.0;4899.0;8355.6679731476
25.02.2025;11:20:00;8229.3;8229.4;8221.7;8226.4;2142.0;8354.3052934161
25.02.2025;11:30:00;8227.2;8237.5;8222.8;8237.5;1518.0;8352.9562404819
